order_id,user_id,order_dow,order_hour_of_day
1272013,1441,5,11
1783446,1444,5,14
1801417,1475,4,8
3195764,1476,1,19
955219,1490,1,11
1753662,1496,6,19
2391741,1502,2,15
928756,1504,0,18
3166624,1504,0,16
1655794,1509,3,13
2103093,1509,1,16
118285,1518,1,21
682940,1521,1,10
220180,1527,4,11
1390487,1531,2,11
2988131,1531,1,12
2244387,1535,5,13
2617896,1545,0,21
3252362,1546,2,17
2067667,1549,1,9
868138,1551,2,10
2054356,1555,5,15
1296069,1556,2,15
1984883,1564,1,22
2216647,1575,2,15
200323,1575,2,16
780177,1595,5,18
2928357,1607,0,10
388652,1608,1,15
2088205,1611,6,14
186796,1636,6,13
2299619,1637,6,17
2431525,1640,1,7
109841,1648,5,20
3100124,1650,4,13
1886352,1658,4,22
2230096,1658,2,14
2210597,1666,0,7
274135,1670,2,13
1903627,1677,0,10
3281805,1681,5,13
2107602,1683,6,12
366024,1685,4,16
2205724,1698,3,21
490752,1699,2,12
1853150,1707,6,19
1607709,1712,1,16
1271434,1715,5,12
955121,1716,1,11
3268581,1727,4,12
732053,1736,4,9
2698465,1737,2,12
2146771,1742,6,16
2352835,1744,5,0
3078370,1750,1,14
2060812,1754,0,12
2093662,1759,5,14
925033,1769,4,16
579026,1776,5,11
3252392,1785,6,7
1201987,1790,0,8
1822116,1814,4,6
1746074,1819,1,19
548661,1819,4,20
2576785,1832,0,10
1239429,1832,1,16
737499,1836,5,8
2853765,1840,5,11
2272825,1844,3,8
2537306,1847,3,14
2927812,1868,6,15
374806,1872,2,10
708,1873,0,17
1260635,1884,5,15
1703207,1884,1,17
2768207,1886,4,13
2321835,1895,4,10
675220,1901,4,15
798418,1915,6,20
1967643,1917,5,19
666705,1922,6,18
686147,1937,0,19
887563,1945,1,15
639951,1948,0,11
768877,1948,6,10
2329846,1958,5,10
1286072,1958,1,14
1669608,1986,2,8
1391756,2006,2,17
1351139,2008,1,11
3035267,2011,0,16
328215,2013,2,7
1087788,2028,3,15
3010530,2031,5,18
1386304,2046,0,18
1630821,2053,3,13
1813937,2055,2,19
344264,2068,6,19
529463,2071,3,19
1412811,2078,0,15
724301,2091,0,17
1980767,2094,3,17
1418558,2095,6,8
1029673,2100,6,11
103864,2102,1,13
2262649,2105,4,17
1799404,2113,5,9
1547858,2118,5,9
3020456,2118,3,9
2134892,2118,1,9
1066085,2130,1,16
2022168,2150,5,10
3196036,2157,2,14
1117100,2157,1,11
96356,2160,4,9
3316237,2162,2,7
2315298,2184,6,7
42752,2190,3,22
2383908,2192,0,8
3108784,2192,1,16
2578705,2192,3,11
778387,2193,2,10
2639296,2204,1,14
2626715,2210,3,17
1090905,2214,2,9
232421,2215,0,9
3309610,2220,1,16
2852706,2224,3,11
2415608,2229,0,10
833051,2231,1,7
2126427,2241,4,13
1300819,2244,2,13
3016003,2249,1,11
2989922,2253,4,16
2364849,2278,2,14
1011081,2278,3,14
2400527,2285,2,10
1128888,2293,3,13
515627,2296,5,12
1214532,2296,5,10
1941496,2305,6,12
1450730,2335,6,16
738861,2335,4,14
3109265,2350,0,18
1972233,2352,5,5
60212,2357,1,10
152015,2371,1,21
3031167,2378,0,16
2149526,2378,6,15
909072,2383,5,15
138421,2383,1,9
689584,2383,4,15
876061,2387,5,13
2115150,2408,3,0
2183474,2410,0,15
2395034,2432,3,11
209840,2433,2,18
930287,2444,1,11
2278231,2461,1,12
1717416,2468,5,17
2679390,2476,0,16
2781035,2482,5,18
2397663,2484,1,11
3224476,2489,6,15
2134450,2496,3,10
1795027,2505,0,14
1754999,2505,5,18
502915,2507,2,7
518584,2520,2,8
789042,2522,3,18
950458,2524,4,11
1697406,2524,2,18
3191847,2531,2,18
1054556,2531,6,10
1875833,2535,4,15
9573,2535,4,6
582308,2539,1,10
3079396,2546,3,15
2643967,2553,0,16
2415508,2556,5,17
3087729,2558,4,21
713763,2561,0,19
1540207,2562,4,11
3292386,2577,3,8
288779,2591,0,12
1528183,2592,5,8
130480,2596,0,23
2310354,2630,3,23
890668,2646,6,12
1959877,2655,0,17
2996350,2657,6,10
1516957,2658,1,17
2492400,2659,2,8
1977804,2663,5,17
1267504,2664,0,16
547589,2669,6,17
1104087,2684,0,19
1687696,2686,1,16
228381,2686,6,11
429643,2690,2,11
69024,2701,0,14
331738,2704,3,11
3346030,2707,1,18
1801777,2716,6,17
112946,2735,3,11
3345805,2735,5,13
2770713,2736,4,11
2963038,2755,5,10
2728578,2770,0,17
1223989,2776,0,16
2077703,2777,3,19
2251635,2778,2,18
781863,2778,5,8
3243855,2794,5,11
3220719,2799,2,17
2215115,2800,3,20
3086391,2802,0,22
514798,2802,0,15
2394869,2802,1,16
495455,2804,2,11
2332282,2805,4,13
1494246,2807,2,12
2797272,2808,4,14
597673,2812,6,16
2779594,2821,2,13
3236433,2845,6,20
93667,2849,6,19
2525984,2850,6,7
2148011,2866,3,16
2619258,2878,4,2
2971471,2881,1,12
1254521,2885,3,11
502826,2899,6,14
3270746,2911,1,15
3138743,2913,1,7
2225260,2915,6,17
2710150,2917,6,8
25819,2924,5,10
2973544,2928,2,0
2294600,2935,2,13
2529139,2935,0,14
190612,2936,0,9
1935640,2939,3,14
3284216,2941,1,14
2441348,2941,1,20
1414344,2945,4,17
2262095,2947,0,11
676099,2970,1,11
956729,2973,1,11
2381994,2978,0,14
184816,2991,2,17
99746,2991,1,16
2365902,2991,6,8
1229325,2995,0,16
2871903,3016,3,11
1310967,3018,1,11
368764,3022,3,12
2194052,3030,1,10
2975395,3042,2,10
2937992,3049,6,14
1437841,3051,6,12
2044709,3056,5,14
2482247,3057,2,14
2088909,3065,0,10
1949298,3067,5,15
1085746,3085,6,18
234476,3086,5,10
3097087,3087,2,18
2949998,3092,5,9
1862423,3094,2,15
444073,3095,6,14
982600,3108,5,16
2552765,3118,4,12
129339,3118,5,16
1150451,3131,0,7
3107644,3135,1,10
35196,3142,0,14
2026978,3154,0,7
3153029,3162,0,14
2366422,3163,2,11
1340043,3163,1,14
2597347,3171,1,15
1378606,3178,1,10
76255,3178,2,11
2780535,3184,4,9
942608,3185,0,13
545437,3188,1,20
1893589,3190,1,21
3129926,3199,0,20
1632837,3199,2,20
1489807,3199,1,21
1774891,3210,1,9
1838225,3210,1,8
1154910,3219,4,4
1097801,3221,3,21
525529,3221,5,9
1779292,3221,6,21
717313,3224,6,8
2167920,3227,2,9
813798,3228,1,12
1887237,3228,3,11
1640172,3228,4,10
1791235,3261,3,17
1877014,3265,3,15
2369084,3269,4,9
2793805,3273,0,8
2285679,3273,6,13
614848,3275,5,12
493192,3276,1,20
3075027,3283,1,17
3114798,3286,0,16
1832079,3302,3,15
2801432,3302,3,17
923753,3303,0,10
994459,3321,6,8
191035,3322,4,18
2466076,3323,1,10
15929,3329,1,15
1488445,3338,3,13
1326433,3342,0,14
2383165,3343,2,10
1731495,3354,0,15
3106689,3371,3,21
810120,3377,3,12
309786,3377,2,19
3010092,3379,5,16
1317154,3387,5,13
395158,3392,0,14
2943938,3398,5,13
2310874,3415,5,9
2984730,3415,1,7
652971,3417,3,19
127183,3417,3,16
54322,3422,3,16
1998743,3422,0,15
1640331,3422,1,7
3005037,3422,1,12
1976115,3431,4,9
1335392,3431,1,13
2498366,3431,2,9
3259701,3446,1,14
1423791,3452,3,12
2122674,3460,1,13
424647,3461,6,13
994787,3468,6,9
1670817,3468,5,14
2510407,3475,5,15
1590922,3490,2,11
2294603,3490,6,13
86369,3497,4,8
1757418,3509,0,16
1063727,3514,2,15
148918,3525,6,12
2271399,3529,0,18
1601666,3540,0,12
2484234,3543,2,20
1435291,3546,2,15
36783,3571,3,11
1070473,3571,5,18
883730,3573,4,13
744834,3573,4,14
1661582,3583,5,12
3212800,3589,6,11
417154,3593,5,9
2851107,3594,1,22
1220901,3602,1,20
2686352,3602,1,22
3393036,3602,4,20
1391979,3605,5,8
536012,3609,5,9
2253811,3610,0,9
2955775,3612,1,14
1668329,3617,5,14
2297470,3620,0,20
3378530,3621,1,12
620163,3622,4,15
996063,3623,2,9
2937024,3631,0,10
763461,3644,3,19
2137207,3648,5,16
3054239,3655,1,19
27406,3656,1,12
555406,3659,6,9
2180709,3659,0,7
1111574,3663,0,13
1176018,3663,5,8
586724,3679,0,10
3003377,3680,4,15
2648232,3680,4,11
1388643,3689,0,12
1094373,3690,2,9
3076727,3690,0,11
1263679,3701,2,19
2357924,3713,3,8
2172434,3718,0,20
1934331,3725,1,6
2556259,3741,6,13
1170213,3741,6,11
375043,3745,5,6
236074,3749,1,19
680799,3768,4,14
3362021,3776,6,11
2684773,3793,6,11
1884667,3800,0,15
57030,3803,3,19
676928,3803,0,13
110448,3809,0,10
2346677,3818,3,11
2415847,3823,2,17
2108931,3827,3,10
1257968,3830,2,8
1253138,3849,0,15
3182743,3852,0,18
2327923,3880,3,10
3081164,3880,3,9
2773880,3881,6,13
1042983,3905,1,13
2098864,3913,3,18
1417220,3920,1,11
2052445,3924,1,9
589619,3929,1,12
2888252,3939,3,12
172357,3950,4,11
325390,3959,6,18
1681657,3960,4,17
2475436,3964,1,9
1604764,3984,6,16
3317250,3985,5,15
678074,3989,3,14
3215844,3990,0,16
3214744,3993,6,13
2524854,4027,1,8
3353089,4035,2,13
2876707,4057,2,8
341990,4080,0,15
666550,4086,0,8
2946133,4090,0,12
3249143,4100,1,12
3315108,4115,0,20
1006095,4119,1,11
556768,4121,5,15
950595,4127,3,16
814612,4128,6,19
2384662,4148,5,15
1109752,4151,0,20
167009,4163,1,13
2587850,4166,3,16
2889501,4178,3,15
3418959,4181,1,14
3164160,4187,4,15
2449717,4192,0,13
502333,4194,1,15
2734262,4195,0,9
588537,4199,2,15
2173300,4204,6,13
668347,4212,1,16
2072552,4215,0,11
1937513,4224,6,10
1203791,4228,3,9
2605975,4248,1,7
195977,4252,3,11
3114976,4267,1,15
806973,4284,6,5
3052257,4284,0,10
3292818,4297,0,19
37668,4302,4,18
2105508,4311,1,17
9652,4312,1,10
693586,4322,5,16
1306584,4345,3,17
110571,4356,3,10
147031,4356,1,10
2723786,4356,3,10
1678176,4358,0,13
855252,4362,2,16
789389,4368,1,9
759637,4369,0,6
930313,4376,5,6
521513,4377,0,7
2345247,4380,4,17
20309,4394,2,15
3289810,4396,1,12
1074429,4404,4,15
908776,4422,2,17
162990,4425,6,16
39299,4427,1,15
92173,4449,0,16
2321231,4450,2,19
2564627,4457,6,14
2032069,4470,5,9
3308651,4472,2,15
2404880,4493,0,21
1182625,4499,4,13
55067,4499,6,13
2153231,4508,5,13
1483804,4516,3,22
1503231,4521,0,10
722617,4533,6,10
2670087,4537,1,14
2963593,4546,0,11
1920701,4550,5,10
2887197,4556,2,15
2179413,4557,5,19
1463534,4558,4,14
147858,4558,0,8
3191872,4560,1,12
60736,4562,1,19
1758157,4563,4,18
1601218,4574,5,10
686244,4582,0,18
210349,4584,1,0
1866856,4591,3,16
934075,4596,3,15
403215,4599,4,15
2447059,4610,1,12
1788341,4615,1,15
155439,4617,4,20
1949976,4618,3,9
3041674,4629,1,10
2066783,4631,6,23
3374981,4655,4,17
1895784,4655,1,6
2935092,4657,2,18
1013536,4659,5,16
771866,4671,0,12
1927285,4679,0,10
2340023,4687,6,14
1708812,4693,3,18
314804,4694,2,10
994526,4694,2,11
432682,4701,5,12
549798,4701,4,19
198269,4711,6,8
1177519,4711,0,10
3220193,4717,1,10
531850,4718,1,2
1121723,4718,0,16
1135287,4719,0,12
1638140,4720,5,21
2447036,4725,6,16
2752672,4729,6,19
1061193,4743,5,11
918345,4752,2,9
2113640,4756,6,19
1877141,4758,2,12
3207851,4766,0,19
1751735,4784,6,22
2127631,4785,6,10
961753,4807,5,22
448090,4816,2,15
297956,4827,2,15
68457,4829,3,14
1462245,4833,0,13
827813,4843,6,11
3080732,4845,5,16
1986965,4849,6,12
2449029,4853,1,10
2778750,4936,3,17
1000049,4941,5,9
547883,4947,3,11
2531101,4951,4,12
2813200,4956,3,7
2523554,4960,0,13
1898999,4964,1,18
2174803,4965,6,16
3034031,4969,5,11
2698127,4980,0,18
169370,4980,5,13
1218843,4993,4,10
700300,4994,0,10
1262515,4997,5,17
2438113,4997,4,9
2357068,5000,1,14
1519112,5000,3,13
260424,5000,2,8
2189817,5006,5,7
488668,5009,0,16
1933457,5011,5,15
3340795,5012,0,11
426080,5025,4,13
2645493,5033,5,13
1062976,5042,5,14
120618,5060,0,14
1652019,5071,0,12
1331001,5077,1,10
1477121,5089,3,18
2492329,5101,4,10
2836875,5101,1,13
1225395,5103,2,11
606112,5108,4,10
3214978,5110,3,13
3233100,5118,6,11
253828,5151,2,10
2828101,5167,2,12
2526485,5168,2,15
2368399,5179,4,11
221197,5186,4,13
1122388,5189,0,17
1150025,5189,0,22
2266515,5191,1,13
881214,5191,4,8
3404875,5195,0,14
2320997,5199,4,12
3052698,5211,4,10
1310359,5218,0,17
1468401,5223,2,11
1344403,5226,4,23
195469,5229,5,2
2030667,5231,5,12
1418305,5233,1,23
2114875,5236,1,9
350798,5237,6,8
3045611,5237,5,23
2618920,5241,0,16
643502,5253,2,11
2562310,5253,1,14
351960,5256,1,9
857976,5260,6,16
3110817,5270,5,13
1415540,5278,4,17
2997214,5280,4,17
1657106,5283,5,15
727278,5283,2,16
1759523,5283,2,16
1111683,5288,1,6
2109851,5296,5,22
2524615,5304,4,14
1526582,5304,3,16
201186,5307,2,9
102085,5313,2,17
3364130,5317,3,19
213014,5318,2,10
244501,5323,0,19
72395,5323,5,17
350849,5330,5,12
2480236,5330,2,14
777834,5331,6,11
634328,5335,6,16
3091794,5338,3,13
3230191,5350,4,19
1934812,5357,1,13
2736277,5363,3,10
3094590,5363,1,10
335767,5367,6,7
2273223,5382,2,13
2362695,5392,4,17
2811946,5392,0,19
1491191,5396,0,10
359366,5396,1,8
1675865,5398,3,9
3233294,5402,1,21
610434,5402,3,15
609469,5405,2,11
350166,5406,3,14
1177528,5408,6,14
1177356,5412,1,16
3089915,5417,0,19
2522313,5438,1,8
604075,5449,6,17
64065,5457,3,9
2909839,5458,2,20
1065012,5466,3,12
1113743,5469,0,15
142055,5472,5,14
1951297,5476,2,14
2310853,5479,2,17
1729041,5483,5,16
570717,5491,0,15
2045816,5493,0,10
1668327,5493,4,11
1227100,5498,5,9
2195536,5498,1,10
1748519,5498,1,13
2946752,5504,5,12
985719,5510,6,11
3132927,5522,0,10
1559189,5525,6,17
1786940,5531,6,12
372858,5533,6,8
2206857,5538,4,9
2900100,5540,3,10
3012148,5550,6,14
3420098,5557,5,15
1198120,5562,5,11
3401909,5562,5,11
731981,5577,1,9
1022764,5580,2,9
3201614,5583,0,18
865802,5599,6,9
2865308,5602,6,11
1630139,5602,6,18
1077397,5607,0,22
2736443,5607,5,9
152313,5615,0,8
1297960,5616,3,12
1397414,5624,5,10
290659,5629,2,14
853856,5630,3,11
1370280,5634,3,14
2801009,5639,3,11
2333529,5639,6,10
2095289,5639,2,10
1807069,5641,3,13
1595378,5646,3,11
633974,5647,0,10
597268,5648,5,9
358594,5651,5,10
402858,5658,6,14
2189116,5659,2,11
854753,5665,5,10
2749565,5669,5,10
992228,5672,6,15
1800992,5672,6,15
1883323,5675,2,16
1385545,5683,5,17
882050,5692,1,9
1982201,5692,2,12
1885730,5705,2,10
3025626,5709,1,12
3361651,5712,2,12
3224912,5712,3,12
1172745,5714,3,11
1790366,5731,2,16
1365383,5732,2,21
1393578,5738,5,12
1024341,5738,4,21
3174902,5741,0,14
992643,5745,1,17
3416719,5751,4,7
2203095,5753,5,14
2895287,5756,5,9
3352957,5761,5,16
929694,5765,6,18
1681449,5770,3,12
288493,5814,1,13
3217148,5818,4,16
3281919,5818,5,9
263841,5819,4,7
3360855,5824,3,11
1381742,5826,2,17
3257805,5828,4,17
1223154,5844,6,10
2845077,5848,4,10
3101190,5855,1,17
401075,5858,3,17
1961411,5879,1,13
3222859,5890,3,9
210557,5891,0,16
826509,5891,2,11
1440736,5902,3,13
1606659,5902,1,15
3097335,5911,0,18
190203,5912,2,18
2514719,5914,0,11
2332731,5927,1,21
2061857,5932,6,16
3014353,5932,0,17
1962431,5939,6,15
1761926,5943,5,22
2837117,5947,2,21
1747508,5950,0,15
1397661,5961,6,7
1951548,5963,1,9
861758,5966,0,10
1494359,5971,3,14
167072,5972,0,14
1374758,5972,3,11
118259,5983,4,18
2542621,5987,3,15
675977,5991,1,11
2649189,5992,0,14
1820640,6003,6,9
2416923,6008,1,1
3291683,6011,2,14
269060,6012,6,9
2875468,6015,6,15
1616240,6015,0,15
3414478,6015,6,13
2598217,6015,0,13
1043627,6045,1,14
527821,6045,4,14
1121498,6058,3,13
871845,6060,4,11
2659200,6063,5,15
2587497,6087,4,9
880198,6122,1,23
488156,6122,5,17
2444540,6125,3,10
2301321,6128,3,13
652327,6129,4,8
669340,6142,6,12
633215,6150,1,15
1431788,6150,6,12
2944304,6175,5,9
1652067,6175,6,11
1861172,6175,1,13
1792140,6175,3,16
27273,6201,5,8
1868529,6210,5,9
201168,6218,4,14
556676,6255,5,16
3341508,6264,6,7
1591366,6268,4,11
1390731,6268,3,11
1934513,6277,4,19
3413128,6287,0,13
1190677,6288,0,13
860090,6290,3,13
764151,6302,3,9
3183131,6311,5,21
212256,6311,1,18
2077368,6312,0,20
2099956,6318,2,21
2433850,6321,2,20
1810479,6321,4,16
815241,6330,4,12
593734,6342,0,7
82699,6349,1,13
1276116,6349,4,16
3149915,6357,0,11
2151940,6362,2,14
606587,6363,0,10
2629991,6366,5,12
1207063,6368,4,18
2503263,6372,6,12
2891872,6374,6,16
1477654,6383,6,13
1526379,6402,4,21
2707017,6409,0,8
1561886,6414,1,12
2394699,6417,6,12
478712,6418,6,17
190072,6448,1,13
923879,6448,1,8
1027243,6449,3,11
1966485,6453,6,18
1265122,6470,2,17
2367098,6484,5,10
1285451,6485,4,14
1964601,6496,6,18
3385813,6517,5,12
960919,6532,5,10
1363351,6538,2,13
526210,6539,5,10
2565412,6541,6,9
1170077,6541,5,12
35610,6562,0,13
39138,6567,1,22
1296865,6567,0,21
8844,6573,3,7
767286,6577,5,14
563721,6598,4,16
2165814,6610,2,12
1112128,6623,4,8
291801,6624,4,21
2900028,6633,5,13
778191,6633,3,17
600723,6647,2,7
766198,6655,2,17
1937039,6655,3,7
643392,6658,2,18
1267769,6673,3,16
1837794,6688,4,15
2329933,6696,2,11
2539849,6696,3,14
2968166,6699,6,18
2619235,6707,6,11
369823,6708,3,19
717866,6710,5,15
205752,6710,5,10
1547913,6734,6,13
3147138,6738,3,15
3024781,6744,2,22
2099737,6746,0,13
1571878,6747,5,16
631394,6748,6,20
3342499,6748,2,6
1068898,6754,2,19
742144,6754,5,16
681155,6774,5,3
2823516,6778,0,10
1123647,6784,0,12
530812,6801,1,13
976678,6810,3,15
1870484,6814,3,11
304194,6821,4,9
1710663,6865,2,12
2738335,6876,6,9
3299202,6880,5,10
2748394,6880,4,13
1650531,6880,1,10
370143,6889,4,3
2268162,6895,6,12
2519881,6899,1,8
182258,6899,0,14
1839917,6907,2,12
3362833,6907,1,21
205761,6910,0,8
2969169,6923,2,23
1867804,6929,3,18
1301172,6933,3,14
2565643,6935,5,9
48207,6944,1,10
2577890,6944,3,12
2083820,6945,4,11
3019162,6951,3,19
268641,6956,2,9
441907,6956,1,9
2181725,6966,4,17
1064584,6968,1,14
747166,6972,1,9
1877812,6987,2,16
1579154,6987,5,22
1026574,6993,4,6
1573427,6995,1,8
2012735,7008,5,17
2407064,7008,3,9
954150,7010,4,17
3212441,7039,6,11
499630,7044,5,14
3171519,7046,0,15
1855202,7053,2,11
2816229,7056,6,13
1624968,7069,6,17
722975,7076,2,11
3272267,7084,2,20
2486526,7088,2,17
2393674,7095,0,20
3033967,7095,2,23
963096,7109,4,14
701669,7113,2,17
456102,7114,4,15
2916062,7119,3,11
115850,7119,2,9
1280893,7120,0,10
1548492,7123,2,13
559291,7123,5,8
1423825,7129,4,17
3054957,7130,5,11
1148460,7136,3,17
757517,7144,5,8
424546,7144,4,15
1502488,7144,1,11
1090325,7151,0,13
3099436,7151,1,16
2333958,7161,3,7
770650,7172,1,12
11359,7175,0,7
1994487,7175,4,6
1031414,7178,0,22
1219667,7186,1,12
2152496,7187,2,12
2348335,7200,4,16
804283,7200,3,16
2025491,7205,1,20
3336879,7205,5,10
215048,7205,0,14
1490587,7209,1,8
2952535,7216,6,14
733035,7225,3,10
1005665,7226,6,15
2025211,7233,2,13
2301965,7233,1,17
2288080,7242,0,22
1234603,7244,5,9
2069420,7244,4,6
2888766,7244,3,16
788026,7245,4,11
362608,7245,5,9
2266978,7246,6,15
2150445,7247,1,12
2067263,7248,4,9
3197265,7251,1,7
1866118,7252,2,16
1331655,7255,2,8
3085007,7257,3,12
2600310,7262,2,10
1215241,7275,3,14
464766,7297,2,13
3310984,7302,5,16
510711,7307,3,16
2943381,7320,3,12
4330,7331,6,11
1898823,7334,4,16
526291,7336,4,13
1629328,7339,5,13
2868372,7345,1,9
1156860,7351,1,21
2304820,7374,3,9
3231544,7378,0,13
220656,7381,5,13
1991242,7386,0,16
2328029,7388,1,15
937686,7402,4,12
3108067,7418,2,12
469832,7418,2,14
2233316,7419,1,13
3158744,7429,1,12
2471082,7436,2,8
944785,7440,2,9
1244792,7444,1,18
3248609,7449,0,13
3017896,7450,4,19
1650033,7452,0,11
2078063,7463,2,14
3343175,7465,6,15
2539408,7465,2,11
2834238,7466,0,10
3272801,7470,2,9
1351705,7470,0,10
902462,7475,5,14
1483276,7478,5,17
694959,7497,4,15
441441,7497,3,22
1903760,7509,1,15
2444936,7521,6,15
896608,7522,3,16
2259176,7527,1,17
1056254,7530,2,13
2280347,7534,6,16
3276006,7536,2,18
2891391,7543,1,9
1903068,7554,0,23
1487213,7562,0,22
3033214,7562,5,11
193223,7584,1,10
741543,7594,2,13
2292691,7601,2,9
1726412,7603,2,10
3131898,7605,2,17
2359034,7608,0,8
1279017,7611,1,12
1924988,7620,3,8
256519,7620,2,13
2370834,7622,6,14
1509136,7623,4,16
1299136,7637,3,21
3255257,7644,1,13
2447723,7647,3,12
464675,7650,2,13
1795633,7654,5,1
1803147,7655,0,17
1267482,7657,2,22
2945510,7661,3,14
2358942,7664,6,10
86343,7677,6,9
1871246,7685,6,15
2644250,7692,4,9
3237290,7695,1,13
2361469,7702,1,12
6475,7706,1,16
967243,7709,3,14
1271526,7711,0,13
309086,7714,3,12
2481031,7716,0,13
2016857,7718,1,20
1225512,7719,5,22
1220588,7725,4,9
796478,7729,6,15
2721370,7740,6,11
1529527,7744,0,18
2109912,7750,5,14
1056393,7751,3,19
3246495,7752,3,15
3125884,7757,6,17
21594,7762,5,13
1615157,7769,4,18
144821,7788,4,11
3270273,7800,4,8
1202335,7814,6,17
679031,7815,1,18
299298,7816,1,15
3021093,7818,3,10
2950638,7832,3,11
1696205,7833,6,16
1498510,7833,4,15
3231969,7835,3,14
3350531,7839,0,9
2486541,7839,0,15
1438448,7844,0,17
1491234,7845,1,17
618623,7849,2,13
2120606,7851,4,15
2190835,7851,5,23
1374640,7855,1,5
1012634,7860,0,13
571926,7870,6,12
1145348,7872,1,12
1196076,7892,2,13
2201708,7911,1,12
